Code,Name,ROE,PER
264850,이랜시스,11.13,39.60
136540,윈스,11.73,7.66
304100,솔트룩스,-15.24,-16.50
089890,코세스,11.02,21.20
110790,크리스에프앤씨,7.03,13.19
354320,알멕,-6.46,-15.96
273640,와이엠텍,11.25,40.07
019210,와이지-원,6.85,9.74
005860,한일사료,109.57,-344.23
214180,헥토이노베이션,14.63,7.33
472850,폰드그룹,N/A,95.44
445680,큐리옥스바이오시스템즈,-20.76,-31.24
402030,코난테크놀로지,-27.31,-13.51
382840,원준,4.85,8.73
297090,씨에스베어링,-1.86,-36.42
092730,네오팜,15.36,7.61
117730,티로보틱스,-177.60,-3.53
432720,퀄리타스반도체,-68.32,-15.52
217330,싸이토젠,-53.45,-10.17
182400,엔케이맥스,5.31,10.63
225530,보광산업,18.10,12.28
282880,코윈테크,8.07,10.52
321550,티움바이오,-27.32,-9.91
214260,라파스,-24.99,-16.94
457550,우진엔텍,18.31,23.26
402490,그린리소스,7.22,53.35
092070,디엔에프,3.38,58.42
054210,이랜텍,6.26,-37.98
064820,케이프,12.11,12.03
006620,동구바이오제약,11.12,11.93
131400,이브이첨단소재,1.63,66.51
106190,하이텍팜,7.81,12.59
063570,한국전자금융,8.03,12.84
101670,하이드로리튬,-65.40,-2.86
053300,한국정보인증,5.33,9.09
143160,아이디스,9.72,8.57
048550,SM C&C,-9.68,-32.20
065680,우주일렉트로,2.50,18.77
112290,와이씨켐,-9.45,-19.81
123040,엠에스오토텍,6.11,6.73
253840,수젠텍,-13.63,-10.08
025950,동신건설,8.40,20.31
036190,금화피에스시,12.03,4.50
047560,이스트소프트,-10.07,-19.89
234340,헥토파이낸셜,8.28,14.08
200470,에이팩트,-15.65,-8.38
192440,슈피겐코리아,9.58,4.82
023910,대한약품,12.01,5.60
234690,녹십자웰빙,6.87,24.39
121440,골프존뉴딘홀딩스,5.41,5.32
042600,새로닉스,-15.55,-4.02
217820,원익피앤이,-2.86,-7.97
321820,아티스트유나이티드,-29.15,-19.44
453860,에이에스텍,26.95,18.26
452400,이닉스,14.36,9.57
030960,양지사,0.66,104.84
298540,더네이쳐홀딩스,16.06,3.79
060570,드림어스컴퍼니,-1.74,-25.61
356860,티엘비,2.26,176.92
027710,팜스토리,4.80,13.03
093520,매커스,20.67,11.41
091580,상신이디피,19.46,6.58
042420,네오위즈홀딩스,2.13,35.39
396270,넥스트칩,-77.22,-5.85
432470,케이엔에스,9.71,36.14
451760,컨텍,-164.81,-1.70
156100,엘앤케이바이오,-7.84,-657.50
063080,컴투스홀딩스,-3.17,-13.75
079960,동양이엔피,15.53,2.78
046210,HLB파나진,-10.11,-29.29
009300,삼아제약,11.22,6.52
220260,켐트로스,4.65,34.97
125210,아모그린텍,20.89,14.22
191420,테고사이언스,-4.89,-58.23
289220,자이언트스텝,-22.94,-6.61
199820,제일일렉트릭,6.51,20.60
051160,지어소프트,8.18,10.67
362320,청담글로벌,-3.71,-91.98
365590,하이딥,-55.80,-14.09
094820,일진파워,7.48,10.38
317870,엔바이오니아,-16.08,-35.80
092130,이크레더블,25.62,11.48
078940,퀀타피아,-63.99,-8.45
023600,삼보판지,10.17,2.91
065660,안트로젠,-2.41,-43.93
382900,범한퓨얼셀,N/A,-44.14
068790,DMS,6.49,7.80
288330,브릿지바이오테라퓨틱스,-118.94,-3.25
215090,휴센텍,-47.43,-16.01
259630,엠플러스,30.64,6.78
078140,대봉엘에스,3.52,42.52
067990,도이치모터스,3.01,16.02
419050,삼기이브이,N/A,40.15
348150,고바이오랩,-22.66,-11.83
012860,모베이스전자,4.77,13.44
006910,보성파워텍,5.26,36.01
036560,영풍정밀,8.63,5.36
160980,싸이맥스,7.02,12.24
032860,더라미,-8.55,-145.60
145170,노브랜드,0.87,133.80
049720,고려신용정보,27.72,12.97
206560,덱스터,-2.88,-62.61
272110,케이엔제이,18.10,14.03
310200,애니플러스,10.66,17.34
389470,인벤티지랩,-154.94,-6.17
080420,모다이노칩,-2.09,"-1,818.00"
086710,선진뷰티사이언스,8.35,23.49
037460,삼지전자,9.62,4.06
294570,쿠콘,5.57,25.33
418470,밀리의서재,44.55,8.42
183490,엔지켐생명과학,-4.72,-18.00
208370,셀바스헬스케어,11.02,27.40
290670,대보마그네틱,-10.98,-22.52
277880,티에스아이,-6.86,155.00
285490,노바텍,21.01,5.06
147830,제룡산업,9.73,23.43
041440,현대에버다임,3.54,78.33
282720,금양그린파워,23.15,13.01
023900,풍국주정,5.59,15.34
418620,이에이트,124.68,-19.45
458870,씨어스테크놀로지,-75.94,-12.83
073490,이노와이어리스,7.30,43.50
119830,아이텍,-5.21,22.47
065450,빅텍,-7.18,-127.44
445180,퓨릿,19.82,10.14
338840,와이바이오로직스,-116.92,-6.80
203650,드림시큐리티,23.47,7.05
065650,하이퍼코퍼레이션,-5.77,-7.09
950190,고스트스튜디오,16.81,6.41
109740,디에스케이,2.47,62.39
228670,레이,-1.76,-31.39
038110,에코플라스틱,23.50,3.02
205100,엑셈,10.52,25.59
042520,한스바이오메드,-48.64,-13.24
274090,켄코아에어로스페이스,-3.83,-25.96
950220,네오이뮨텍,-52.60,-2.61
104460,디와이피엔에프,5.21,16.59
061250,화일약품,2.21,51.60
246710,티앤알바이오팹,-38.09,-7.83
295310,에이치브이엠,-32.73,-17.61
115180,큐리언트,-54.44,-5.17
067000,조이시티,5.38,18.82
315640,딥노이드,-36.28,-17.75
149980,하이로닉,12.45,15.04
013990,아가방컴퍼니,8.08,9.85
038390,레드캡투어,8.38,6.90
264450,유비쿼스,16.81,5.00
049520,유아이엘,7.37,9.09
251370,와이엠티,-2.33,-77.22
037070,파세코,0.74,-850.00
251120,바이오에프디엔씨,10.01,23.38
357230,에이치피오,10.98,10.52
072870,메가스터디,7.06,5.65
264660,씨앤지하이테크,12.56,10.15
039860,나노엔텍,-6.61,-39.58
451250,삐아,32.93,17.41
164060,이루다,-8.69,-29.49
033290,코웰패션,10.62,4.83
090850,현대이지웰,-0.59,-71.27
175140,휴먼테크놀로지,-33.67,-6.87
043610,지니뮤직,8.20,9.98
054670,대한뉴팜,11.81,10.67
230240,에치에프알,1.06,-13.03
099440,스맥,18.37,5.95
389500,에스비비테크,-65.40,-10.61
107600,새빗켐,-1.86,-28.19
038540,상상인,-8.94,-4.72
261780,차백신연구소,-5.09,-29.64
040350,크레오에스지,-31.48,-8.79
219130,타이거일렉,-4.73,-108.55
018000,유니슨,-41.43,-3.49
269620,시스웍,116.23,-25.40
047820,초록뱀미디어,-15.17,-4.01
195990,에이비프로바이오,-19.61,-5.79
088390,이녹스,-6.84,-8.99
040300,YTN,-1.68,-14.38
353810,이지바이오,27.57,7.98
049960,쎌바이오텍,5.73,19.58
261200,덴티스,9.03,23.34
104480,티케이케미칼,-0.94,18.53
060560,홈센타홀딩스,15.47,6.76
033230,인성정보,-0.38,"2,595.00"
370090,퓨런티어,17.20,29.65
417500,제이아이테크,5.93,34.96
388870,파로스아이바이오,101.81,-13.82
108380,대양전기공업,3.77,12.58
007330,푸른저축은행,5.05,11.76
